title,authors,year,journal,url,crop,locations,data_modalities,methods,evaluation_metrics,in_season_prediction,citations,weather_features,soil_features,satellite_features,other_features,yield_resolution
Exploring the potential role of environmental and multi-source satellite data in crop yield prediction across Northeast China,"['Z Ding', 'D Xu']",2022.0,Science of The Total Environment (Elsevier),[url](https://www.sciencedirect.com/science/article/abs/pii/S0048969721079596),"['Maize', 'Rice', 'Soybean']",['China'],"['Satellite', 'Weather', 'Soil', 'Topography']","['LASSO', 'RF', 'support vector regression (SVR)', 'partial least-square regression (PLSR)', 'stochastic gradient boosting (SGB)', 'ML ensemble']","['R²', 'RMSE']",True,82.0,"['precipitation', 'specific humidity', 'shortwave radiation', 'mean temperature']","['bulk density', 'cation exchange capacity', 'soil texture', 'organic carbon content', 'pH', 'rock fragment', 'porosity', 'phosporus', 'potassium', 'saturated hydraulic conductivity', 'saturated water content']","['EVI', 'NDPI', 'LSWI', 'SIF', 'Land Surface Temperature (LST)', 'vegetation optical depth (VOD)']","['latitude and longitude', 'elevation']","['District', 'City']"
Feasibility of machine learning-based rice yield prediction in India at the district level using climate reanalysis and remote sensing data,"['D De Clercq', 'A Mahdi']",2024.0,Agricultural Systems (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0308521X2400249X),['Rice'],['India'],"['Satellite', 'Weather', 'Soil']","['Light GBM', 'Bayesian ridge regression', 'gradient boosting (GB)', 'RF', 'Huber regression', 'decision tree', 'elastic net', 'AdaBoost', 'orthogonal matching pursuit', 'extremely randomized trees', 'CatBoost', 'extreme gradient boosting', 'ridge regression (RR)', 'KNN', 'linear regression', 'passive aggressive regressor', 'LASSO', 'LASSO least angle regression (LLAR)', 'dummy regressor', 'least angle regression']","['R²', 'MAE', 'MAPE', 'MSE', 'Root Mean Squared Logarithmic Error (RMSLE)']",False,22.0,"['potential evaporation', 'temperature', 'surface pressure', 'precipitation']",['Soil moisture'],"['LAI', 'NDVI']",,['District']
High-resolution crop yield and water productivity dataset generated using random forest and remote sensing,"['M Cheng', 'X Jiao', 'L Shi', 'J Penuelas', 'L Kumar', 'C Nie', 'T Wu', 'K Liu', 'W Wu', 'X Jin']",2022.0,Scientific Data (Nature),[url](https://www.nature.com/articles/s41597-022-01761-0),"['Maize', 'Wheat']",['China'],"['Satellite', 'Soil', 'Weather', 'Crop phenology']",['RF'],"['R²', 'RMSE', 'relative RMSE (RRMSE)', 'MBE']",False,62.0,"['land surface temperature', 'evapotranspiration (ET)', 'temperature']","['clay content', 'sand content', 'silt content']","['gross primary production (GPP)', 'LAI']",['Growing stages (phenology)'],"['County', 'Pixel/Subfield', '1km']"
"Improved prediction of rice yield at field and county levels by synergistic use of SAR, optical and meteorological data","['W Yu', 'G Yang', 'D Li', 'H Zheng', 'X Yao', 'Y Zhu', 'W Cao', 'L Qiu', 'T Cheng']",2023.0,Agricultural and Forest Meteorology (Elsevier),[url](),['Rice'],['China'],"['Satellite', 'Weather']","['LSTM', 'ML ensemble', 'support vector regression (SVR)', 'XGBoost', 'RF']","['RMSE', 'R²', 'Correlation', 'relative RMSE (RRMSE)', 'bias']",False,36.0,"['maximum temperature', 'minimum temperature', 'mean temperature', 'wind speed', 'maximum wind speed', 'precipitation', 'accumulated precipitation', 'sunshine duration', 'humidity', 'vapor pressure deficit', 'effective accumulated temperature (EAT)', 'active accumulated temperature (AAT)', 'solar radiation']",,"['EVI', 'NDRE', 'Land Surface Water Index (LSWI)', 'VV-VH ratio (Sentinel 1)', 'VV (Sentinel 1)', 'VH (Sentinel 1)', 'VH-VV difference', 'VV+VH addition']",,"['Field', 'County']"
Improving early prediction of crop yield in Spanish olive groves using satellite imagery and machine learning,"['M Ramos', 'J Cubillas', 'R Córdoba', 'L Ortega']",2025.0,PLoS ONE,[url](https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0311530),['Olive'],['Spain'],"['Satellite', 'Weather', 'Farm management']","['RF', 'SVM', 'ANN']","['MAE', 'RMSE']",True,12.0,"['land surface temperature', 'precipitation']",,"['NDVI', 'SAVI', 'green chlorophyll index (GCI)', 'ARVI', 'Structure Insensitive Pigment Index (SIPI)', 'normalised differential moisture index (NDMI)']",['previous production'],"['Municipality', 'Country']"
Improving Wheat Yield Estimates by Integrating a Remotely Sensed Drought Monitoring Index Into the Simple Algorithm for Yield Estimate Model,"['D Han', 'P Wang', 'K Tansey', 'S Zhang', 'H Tian', 'Y Zhang', 'H Li']",2021.0,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing (IEEE),[url](https://ieeexplore.ieee.org/abstract/document/9568740/),['Wheat'],['China'],"['Satellite', 'Farm management', 'Weather', 'Crop phenology']",['simple algorithm for yield estimate (SAFY)'],"['R²', 'MAE', 'normalized MAE (NMAE)']",False,20.0,"['sunshine duration', 'maximum temperature', 'minimum temperature', 'dew point temperature', 'precipitation', 'wind speed', 'humidity']",['Soil moisture'],"['vegetation temperature condition index (VTCI)', 'LAI']","['daily accumulation of dry biomass (DAM)', 'sowing date', 'fertilizer date', 'Fertilizer amount', 'irrigation date', 'irrigation rate']","['County', 'Field']"
In-season forecasting of within-field grain yield from Sentinel-2 time series data,"['E Amin', 'L Pipia', 'S Belda', 'G Perich', 'L Graf', 'et al.']",2024.0,International Journal of Applied Earth Observation and Geoinformation (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1569843223004600),"['Wheat', 'Barley', 'Triticale']",['Switzerland'],"['Satellite', 'Weather']","['RF', 'Gaussian Process Regression (GPR)', 'Kernel Ridge Regression (KRR)']","['RMSE', 'relative RMSE (RRMSE)', 'R²']",True,23.0,['growing degree days (GDD)'],,"['kernel NDVI', 'NDVI']",,"['Pixel/Subfield', '2m']"
In-season maize yield prediction in Northeast China: The phase-dependent benefits of assimilating climate forecast and satellite observations,"['C Lu', 'G Leng', 'X Liao', 'H Tu', 'J Qiu', 'J Li', 'et al.']",2024.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192324003551),['Maize'],['China'],"['Satellite', 'Weather']",['RF'],"['bias', 'RMSE', 'mean absolute relative\rerror (MARE)']",True,5.0,"['precipitation', 'mean temperature']",,['gross primary production (GPP)'],,['County']
Incorporating environmental variables into a MODIS-based crop yield estimation method for United States corn and soybeans through the use of a random forest regression algorithm,['T. Sakamoto'],2020.0,ISPRS Journal of Photogrammetry and Remote Sensing (Elsevier),[url](),"['Corn', 'Soybean']",['USA'],"['Satellite', 'Weather', 'Soil', 'Farm management']","['RF', 'linear regression', 'polynomial regression']",['RMSE'],False,183.0,"['mean temperature', 'shortwave radiation', 'precipitation']",['Soil moisture'],['wide dynamic range vegetation index (WDRVI)'],['Irrigation use'],['County']
Integrating climate and satellite remote sensing data for predicting county-level wheat yield in China using machine learning methods,"['W Zhou', 'Y Liu', 'S Ata-Ul-Karim', 'Q Ge', 'X Li', 'J Xiao']",2022.0,International Journal of Applied Earth Observation and Geoinformation (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1569843222000632),['Wheat'],['China'],"['Satellite', 'Weather', 'Crop phenology']","['RF', 'SVM', 'LASSO']","['RMSE', 'R²']",True,97.0,"['minimum temperature', 'maximum temperature', 'diurnal temperature', 'precipitation', 'rainy days', 'Potential Evapotranspiration (PET)', 'vapor pressure', 'solar radiation', 'wind speed']",,"['NDVI', 'EVI', 'SIF']",['Growing stages (phenology)'],['County']
"Integrating data assimilation, crop model, and machine learning for winter wheat yield forecasting in the North China Plain","['H Zhuang', 'Z Zhang', 'F Cheng', 'J Han', 'Y Luo', 'L Zhang', 'B He', 'J Xu', 'F Tao']",2024.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/abs/pii/S0168192324000248),['Wheat'],['China'],"['Satellite', 'Weather', 'Soil', 'Crop phenology']","['Model for Crop Weather Large Area (MCWLA)', 'Hybrid crop model + ML', 'SVM', 'Gaussian Process Regression (GPR)', 'Gradient Boosting Machines (GBM)', 'RF', 'KNN']","['R²', 'RMSE', 'MAE', 'anomaly correlation coefficient (ACC)', 'MAPE', 'percent error (PE)']",True,57.0,"['maximum temperature', 'minimum temperature', 'precipitation', 'vapor pressure', 'solar radiation', 'wind speed']","['Soil moisture', 'permeability', 'water holding capacity', 'wilting point water content']",['LAI'],['phenological stages (and dates)'],['County']
Integrating Multi-Source Data for Rice Yield Prediction across China using Machine Learning and Deep Learning Approaches,"['J Cao', 'Z Zhang', 'F Tao', 'L Zhang', 'Y Luo', 'J Zhang', 'J Han', 'J Xie']",2021.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192320303774),['Rice'],['China'],"['Satellite', 'Weather', 'Soil', 'Farm management']","['LASSO', 'RF', 'LSTM']","['R²', 'RMSE']",True,340.0,"['killing degree days (KDD)', 'growing degree days (GDD)', 'freezing degree days (FDD)', 'maximum temperature', 'minimum temperature', 'precipitation', 'palmer drought severity index', 'evapotranspiration (ET)', 'vapor pressure', 'vapor pressure deficit']","['soil depth', 'soil texture', 'organic carbon content', 'pH', 'cation exchange capacity', 'bulk density']","['SIF', 'EVI']",['Irrigation ratio (county level)'],['County']
Integrating satellite imagery and environmental data to predict field-level cane and sugar yields in Australia using machine learning,"['Y Shendryk', 'R Davy', 'P Thornburn']",2021.0,Field Crops Research,[url](https://www.sciencedirect.com/science/article/pii/S0378429020312685),['Sugarcane'],['Australia'],"['Satellite', 'Soil', 'Weather', 'Topography']","['RF', 'XGBoost', 'gradient boosting (GB)', 'extremely randomized trees']","['R²', 'RMSE', 'balanced accuracy']",True,78.0,"['maximum temperature', 'minimum temperature', 'vapor pressure', 'evaporation', 'precipitation', 'Downward surface shortwave radiation']",['Most dominant soil type'],"['NDSI', 'VV-VH ratio (Sentinel 1)']","['aspect (ASP)', 'curvature (CURV)', 'slope (SLOP)']",['Field']
Integrating satellite-derived climatic and vegetation indices to predict smallholder maize yield using deep learning,"['L Zhang', 'Z Zhang', 'Y Luo', 'J Cao', 'R Xie', 'S Li']",2021.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S016819232100352X),['Maize'],['China'],"['Satellite', 'Weather', 'Soil', 'Topography']","['LASSO', 'Light GBM', 'LSTM']","['R²', 'RMSE', 'relative RMSE (RRMSE)']",True,137.0,"['killing degree days (KDD)', 'growing degree days (GDD)', 'freezing degree days (FDD)', 'accumulated precipitation', 'standardized precipitation index (SPI)']","['bulk density', 'pH', 'organic carbon content', 'cation exchange capacity', 'particle size distribution']","['NDVI', 'EVI', 'GCVI', 'GNDVI', 'wide dynamic range vegetation index (WDRVI)', 'simple ratio (SR)']","['latitude, longitude', 'elevation']",['Field']
Integrating solar-induced chlorophyll fluorescence with traditional remote sensing and environmental variables for enhanced rice yield prediction in Nepal using machine learning,"['M Lamichhane', 'R Chapagain', 'S Mehan', 'D Ames', 'S Kafle']",2024.0,Remote Sensing Applications: Society and Environment (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S2352938524002350),['Rice'],['Nepal'],"['Satellite', 'Weather', 'Soil']","['RF', 'support vector regression (SVR)', 'gradient boosting (GB)', 'LASSO']","['RMSE', 'R²', 'relative RMSE (RRMSE)']",True,3.0,"['actual evapotranspiration', 'reference evapotranspiration', 'climate water deficit', 'palmer drought severity index', 'accumulated precipitation', 'solar radiation', 'minimum temperature', 'maximum temperature', 'vapor pressure', 'vapor pressure deficit', 'wind speed']","['clay content', 'silt content', 'sand content', 'pH', 'organic matter content', 'nitrogen content', 'P2O5 content', 'boron content', 'zinc content', 'potassium', 'Soil moisture']","['SIF', 'NDVI', 'EVI', 'LAI', 'FAPAR']",,['District']
"Integration of Multi-Source Remote Sensing Data and Ensemble Machine Learning for Spatial Paddy Yield Estimation in the Cauvery Delta, India","['J Niraimathi', 'S Saravanan']",2025.0,Earth Systems and Environment (Springer),[url](https://link.springer.com/article/10.1007/s41748-025-00838-1),['Rice'],['India'],"['Satellite', 'Weather', 'Soil']","['RF', 'XGBoost']","['MAE', 'RMSE', 'R²']",False,0.0,"['precipitation', 'humidity', 'solar radiation', 'growing degree days (GDD)']","['organic carbon content', 'clay content', 'pH', 'nitrogen content']","['NDVI', 'EVI', 'SAVI', 'NDRE', 'LAI', 'FAPAR', 'RVI', 'entropy', 'alpha angle', 'VV', 'VH backscatter']",,"['Pixel/Subfield', 'Unclear']"
Interpretability of deep learning models for crop yield forecasting,"['D Paudel', 'A de Wit', 'H Boogaard', 'D Marcos', 'S Osinga', 'I Athanasiadis']",2023.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168169923000510),"['Maize', 'Wheat']","['Germany', 'Spain', 'France', 'Hungary', 'Italy']","['Satellite', 'Soil', 'Weather', 'Topography', 'Crop phenology']","['Gradient-Boosting Decision Tree', 'LSTM', '1DCNN']",['normalized RMSE'],True,129.0,"['maximum temperature', 'minimum temperature', 'precipitation', 'evapotranspiration (ET)', 'climate water balance (CWB)']","['Soil moisture', 'water holding capacity']",['fraction of absorbed photosynthetically active radiation (FAPAR)'],"['WOFOST simulated data', 'elevation', 'slope (SLOP)', 'slope_deviation', 'irrigation area', 'phenological stages (and dates)']",['Region']
Large-scale spatio-temporal yield estimation via deep learning using satellite and management data fusion in vineyards,"['H Kamangir', 'B Sams', 'N Dookoozlian', 'L Sanchez', 'J Earles']",2024.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/abs/pii/S016816992300827X),['Grapevine'],['USA'],"['Satellite', 'Farm management']",['UNet-ConvLSTM'],"['R²', 'RMSE', 'MAE', 'MAPE']",True,23.0,,,"['visible bands (RGB)', 'NIR']","['Crop variety', 'Trellis type', 'Row spacing', 'Canopy spacing']","['Pixel/Subfield', '1m']"
Learning main drivers of crop progress and failure in Europe with interpretable machine learning,"['A Mateo-Sanchis', 'M Piles', 'J Amoros-Lopez', 'J Munoz-Mari', 'J Adsuara', 'A Moreno-Martinez', 'G Camps-Valls']",2021.0,International Journal of Applied Earth Observation and Geoinformation (Elsevier),[url](www.sciencedirect.com/science/article/pii/S0303243421002816),"['Corn', 'Barley', 'Wheat']","['United Kingdom', 'Turkey', 'European Union']","['Satellite', 'Weather', 'Soil']",['Gaussian Process Regression (GPR)'],"['RMSE', 'R²']",False,40.0,"['temperature', 'precipitation', 'radiation', 'evaporation']",['Soil moisture'],"['EVI', 'LAI', 'FAPAR', 'vegetation optical depth (VOD)']",,['Region']
Machine and deep learning-based wheat yield prediction: the critical role of soil moisture and remote sensing data,"['S Hosseinpour', 'H Pirdashti', 'D Hosseinpour', 'H Mousavi', 'S Mohammadpour']",2025.0,Modeling Earth Systems and Environment (Springer),[url](https://link.springer.com/article/10.1007/s40808-025-02456-2),['Wheat'],['Iran'],"['Satellite', 'Weather', 'Soil']","['SVM', 'RF', 'DNN']","['R²', 'RMSE', 'MAE', 'Willmott’s index of agreement']",True,1.0,"['minimum temperature', 'maximum temperature', 'precipitation', 'solar radiation', 'actual evapotranspiration', 'wind speed']",['Soil moisture'],"['NIR reflectance of terrestrial vegetation (NIRv)', 'NDVI', 'EVI', 'GNDVI']",,['Field']
Machine learning approach for satellite‑based subfield canola yield prediction using floral phenology metrics and soil parameters,"['H Fernando', 'T Ha', 'K Nketia', 'A Attanayake', 'S Shirtliffe']",2024.0,Precision Agriculture (Springer),[url](https://link.springer.com/article/10.1007/s11119-024-10116-1),['Canola'],['Canada'],"['Satellite', 'Soil', 'Topography']",['RF'],"['R²', 'RMSE']",False,8.0,,['electrical conductivity'],"['Normalized Difference Yellowness Index (NDYI)', 'Canola Index (CI)', 'Red Blue Normalizing Index (RBNI)', 'NDVI', 'Cloud Index (CdI)', 'Blooming Index (BI)', 'Modified Yellowness Index (MYI)', 'High-resolution Flowering Index (HrFI)', 'Blue–NDVI (BNDVI)', 'Visible Atmospherically Resistant Index (VARI)']","['elevation', 'curvature (CURV)']","['Pixel/Subfield', '2m']"
Machine learning approaches to predict crop yield using integrated satellite and climate data,"['K Jhajharia', 'P Mathur']",2022.0,International Journal of Ambient Computing and Intelligence,[url](https://www.igi-global.com/article/machine-learning-approaches-to-predict-crop-yield-using-integrated-satellite-and-climate-data/300799),['Wheat'],['India'],"['Satellite', 'Weather']","['LASSO', 'SVM', 'RF', 'linear regression']","['MAE', 'RMSE', 'MSE']",False,6.0,"['precipitation', 'minimum temperature', 'maximum temperature', 'mean temperature']",,"['EVI', 'SAVI', 'chlorophyll vegetation index', 'NDWI', 'NDVI']",,['District']
Machine Learning Techniques and Interpretability for Maize Yield Estimation Using Time-Series Images of MODIS and Multi-Source Data,"['Y Lyu', 'P Wang', 'X Bai', 'X Li', 'X Ye', 'Y Hu', 'J Zhang']",2024.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S016816992400454X),['Maize'],['China'],"['Satellite', 'Weather', 'Soil']","['Light GBM', 'RF', 'LASSO']","['R²', 'RMSE', 'normalized RMSE']",False,16.0,"['maximum temperature', 'minimum temperature', 'accumulated precipitation', 'reference evapotranspiration', 'actual evapotranspiration', 'vapor pressure', 'climate water deficit', 'vapor pressure deficit', 'palmer drought severity index', 'shortwave radiation']","['pH', 'Soil moisture', 'coarse fragments', 'sand content', 'silt content', 'clay content', 'nitrogen content', 'phosporus', 'cation exchange capacity', 'organic carbon content', 'bulk density', 'soil thickness']","['EVI', 'NIR reflectance of terrestrial vegetation (NIRv)', 'NIR', 'visible bands (RGB)', 'SWIR']",,['County']
Maize yield estimation in Northeast China’s black soil region using a deep learning model with attention mechanism and remote sensing,"['X Li', 'Y Lyu', 'B Zhu', 'L Liu', 'K Song']",2025.0,Scientific Reports (Nature),[url](https://www.nature.com/articles/s41598-025-97563-6),['Maize'],['China'],"['Satellite', 'Weather', 'Soil', 'Farm management', 'Topography']","['CNNAtBiGru', 'CNN-GRU', 'GRU', 'Light GBM', 'LASSO']","['RMSE', 'R²']",False,11.0,"['minimum temperature', 'maximum temperature', 'precipitation', 'palmer drought severity index', 'Potential Evapotranspiration (PET)', 'vapor pressure', 'vapor pressure deficit', 'land surface temperature']","['soil texture', 'clay content', 'silt content', 'sand content', 'organic carbon content']","['NDVI', 'EVI', 'GCVI', 'GNDVI', 'wide dynamic range vegetation index (WDRVI)', 'OSAVI', 'SIF']","['latitude, longitude', 'Fertilizer amount', 'comprehensive mechanization rate', 'gross domestic product (GDP)', 'fertilizer usage', 'degree of comprehensive mechanization (DCM)']",['County']
"Modelling wheat yield with antecedent information, satellite and climate data using machine learning methods in Mexico","['D Gomez', 'P Salvador', 'J Sanz', 'JL Casanova']",2021.0,Agricultural and Forest Meteorology (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168192320304196),['Wheat'],['Mexico'],"['Satellite', 'Weather', 'Farm management']","['Generalized Linear Models (GLM)', 'ridge regression (RR)', 'LASSO', 'partial least-square regression (PLSR)', 'KNN', 'SVM', 'XGBoost', 'RF']","['R²', 'RMSE']",True,101.0,"['evaporation', 'leaf area index?', 'potential evaporation', 'skin temperature', 'solar radiation', 'temperature', 'cloud cover', 'precipitation', 'soil water?']",,['NDVI'],"['Irrigation use', 'crop cycle', 'previous production']",['Municipality']
Multilevel Deep Learning Network for County-Level Corn Yield Estimation in the U.S. Corn Belt,"['J Sun', 'Z Lai', 'L Di', 'Z Sun', 'J Tao', 'Y Shen']",2020.0,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing (IEEE),[url](https://ieeexplore.ieee.org/abstract/document/9177261),['Corn'],['USA'],"['Satellite', 'Soil', 'Weather']","['LSTM-CNN', 'ridge regression (RR)', 'LASSO', 'RF', 'DNN']","['MAPE', 'RMSE', 'percent error (PE)', 'R²']",True,151.0,"['land surface temperature', 'vapor pressure', 'precipitation']","['clay content', 'sand content', 'water content', 'pH', 'bulk density', 'organic carbon content']","['visible bands (RGB)', 'SWIR', 'NIR']",,['County']
Optimizing on-farm corn yield prediction by a multi-source data fusion approach using remote sensing and machine learning,"['A Raza', 'Y Miao', 'Y Huang', 'K Stueve', 'J Lu', 'Z Yang', 'R Bindlish']",2025.0,Smart Agricultural Technology,[url](https://www.sciencedirect.com/science/article/pii/S2772375525008615),['Corn'],['USA'],"['Satellite', 'Soil', 'Topography']","['RF', 'decision tree', 'extra trees', 'gradient boosting (GB)', 'extreme gradient boosting', 'KNN', 'SVM', 'histogram-based gradient boosting regression']","['R²', 'MAE', 'RMSE', 'mean bias error (MBE)']",True,0.0,,"['clay content', 'silt content', 'sand content', 'measure of pore size distribution (MPSD)', 'pH', 'residual soil water content (RSWC)', 'saturated water content', 'Scale parameter inversely proportional to mean pore diameter (SPIDMPD)', 'bubbling pressure (BP)', 'saturated hydraulic conductivity', 'pore size distribution index (PSDI)', 'bulk density', 'organic matter content']","['NDVI', 'EVI', 'GNDVI', 'NDRE', 'wide dynamic range vegetation index (WDRVI)', 'simple ratio (SR)', 'Red Edge', 'MCARI', 'green chlorophyll index (GCI)', 'Clorophyll Vegetation Index (CVI)', 'Normalized Crop Management Index (NCMI)', 'NDWI', 'MNDWI', 'ARVI', 'Transformed vegetation index (TVI)', 'LAI']","['elevation', 'slope (SLOP)', 'aspect (ASP)', 'curvature (CURV)']","['Pixel/Subfield', '4m']"
Predicting Crop Yield with Machine Learning: An Extensive Analysis of Input Modalities and Models on a Field and Sub-Field Level,"['D Pathak', 'M Miranda', 'F Mena', 'C Sanchez', 'P Helber', 'B Bischke', 'P Habelitz', 'H Najjar', 'et al.']",2023.0,IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium (Symposium),[url](https://ieeexplore.ieee.org/abstract/document/10282318),"['Wheat', 'Rapeseed', 'Soybean']","['Germany', 'Argentina', 'Uruguay']","['Satellite', 'Weather', 'Soil', 'Topography']","['LSTM', 'Light GBM']","['MAPE', 'R²']",False,22.0,"['minimum temperature', 'maximum temperature', 'mean temperature', 'precipitation']","['cation exchange capacity', 'nitrogen content', 'pH', 'sand content', 'silt content', 'organic carbon content', 'clay content']","['visible bands (RGB)', 'SWIR', 'NIR', 'Red Edge', 'coastal aerosol', 'water vapour']","['aspect (ASP)', 'curvature (CURV)', 'DEM', 'slope (SLOP)', 'topographic wetness index (TWI)']","['Pixel/Subfield', '10m', 'Field']"
Predicting intra-field yield variations for winter wheat using remote sensing and Graph Attention Networks,"['O Astrom', 'S Mansson', 'I Lazar', 'M Nilsson', 'et al.']",2025.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168169925006052),['Wheat'],['Sweden'],"['Satellite', 'Soil', 'Weather']","['Graph Neural Network (GNN)', 'XGBoost', 'ANN']","['R²', 'normalized RMSE', '1-tonne accuracy', 'MAPE']",True,2.0,"['precipitation', 'wind speed', 'humidity', 'radiation', 'growing degree days (GDD)', 'minimum temperature', 'maximum temperature']","['pH', 'phosporus', 'potassium', 'magnesium', 'calcium', 'organic matter content', 'clay content']","['NDVI', 'NDWI', 'NDBI', 'visible bands (RGB)', 'NIR', 'SWIR', 'coastal aerosol', 'water vapour']",,"['Pixel/Subfield', '10m']"
Predicting rice yield at pixel scale through synthetic use of crop and deep learning models with satellite data in South and North Korea,"['S Jeong', 'J Ko', 'J Yeom']",2022.0,Science of The Total Environment (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0048969721048014),['Rice'],"['South Korea', 'North Korea']","['Satellite', 'Weather', 'Topography']",['DNN'],"['R²', 'Nash-Sutcliffe efficiency', 'RMSE']",True,139.0,"['solar radiation', 'growing degree days (GDD)']",,"['NDVI', 'OSAVI', 'Renormalized Difference Vegetation Index (RDVI)', 'Modified Triangular Vegetation Index (MTVI1)', 'EVI', 'Land Surface Water Index (LSWI)']","['latitude, longitude', 'county ID', 'transplanting date (TPD)']","['County', 'Province', 'Pixel/Subfield', '500m']"
Predicting Wheat Yield at the Field Scale by Combining High-Resolution Sentinel-2 Satellite Imagery and Crop Modelling,"['Y Zhao', 'AB Potgieter', 'M Zhang', 'B Wu', 'GL Hammer']",2020.0,Remote Sensing (MDPI),[url](https://www.mdpi.com/2072-4292/12/6/1024),['Wheat'],['Australia'],"['Satellite', 'Weather']",['linear regression'],"['R²', 'RMSE', 'MAPE']",False,223.0,"['crop stress index (SI)', 'land surface temperature']",,"['OSAVI', 'red edge chlorophyll index', 'NDVI', 'difference vegetation index (DVI)', 'simple ratio (SR)', 'EVI', 'EVI2', 'Transformed Chlorophyll Absorption in ReﬂectanceIndex (TCARI)', 'TCARI/OSAVI (TO)', 'GCVI', 'GDVI', 'NDRE', 'Canopy Chlorophyll Content Index (CCCI)']",,"['Field', 'Pixel/Subfield', '2m']"
"Predicting wheat yield gap and its determinants combining remote sensing, machine learning, and survey approaches in rainfed Mediterranean regions of Morocco","['K Devkota', 'A Bouasria', 'M Devkota', 'V Nangia']",2024.0,European Journal of Agronomy (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S1161030124001163),['Wheat'],['Morocco'],"['Satellite', 'Soil', 'Farm management', 'Weather', 'Topography']",['RF'],"['R²', 'RMSE', 'mean error (ME)', 'relative RMSE (RRMSE)']",False,40.0,"['actual evapotranspiration', 'accumulated precipitation', 'maximum temperature', 'minimum temperature']","['cation exchange capacity', 'clay content', 'nitrogen content', 'pH', 'sand content', 'silt content', 'organic carbon content', 'Soil moisture', 'coarse fragments', 'soil type']","['EVI2', 'CGVI', 'MSR', 'NDVI', 'OSAVI', 'RVI']","['Crop variety', 'germination date', 'Harvest dates', 'Fertilizer amount', 'nitrogen rate (at basal)', 'P2O5 fertilizer rate', 'K2O fertilizer rate', 'topography', 'Herbicide usage']",['Field']
Prediction of crop yield using satellite vegetation indices combined with machine learning approaches,"['K Jhajharia', 'P Mathur']",2023.0,Advances in Space Research (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0273117723005264),"['Various', 'Millet', 'Cluster bean', 'Psyllium husk', 'Henna', 'Coriander']",['India'],"['Satellite', 'Weather']","['decision tree', 'RF', 'LASSO', 'support vector regression (SVR)']","['MAE', 'RMSE', 'R²']",True,31.0,['precipitation'],,"['NDVI', 'EVI', 'LAI']",,['District']
Prediction of multi-year winter wheat yields at the field level with satellite and climatological data,"['M Marszalek', 'M Körner', 'U Schmidhalter']",2022.0,Computers and Electronics in Agriculture (Elsevier),[url](https://www.sciencedirect.com/science/article/pii/S0168169922000941),['Wheat'],['Germany'],"['Satellite', 'Weather']","['linear regression', 'RF']","['MAE', 'R²', 'RMSE']",False,48.0,"['precipitation', 'dew point temperature', 'cloud cover', 'sunshine duration', 'air pressure', 'solar radiation', 'crop water requirement (CWR)', 'evapotranspiration (ET)', 'maximum temperature', 'minimum temperature', 'mean temperature', 'humidity', 'wind speed']",,"['NDVI', 'NDWI', 'NDRE', 'REIP', 'visible bands (RGB)', 'NIR', 'SWIR']",,['Field']
Rapid Rice Yield Estimation Using Integrated Remote Sensing and Meteorological Data and Machine Learning,"['M Islam', 'L Di', 'F Qamer', 'S Shrestha', 'L Guo', 'L Lin', 'et al.']",2023.0,Remote Sensing (MDPI),[url](https://www.mdpi.com/2072-4292/15/9/2374),['Rice'],['Nepal'],"['Satellite', 'Weather']","['ML ensemble', 'linear regression', 'RF', 'gradient boosting (GB)', 'Light GBM', 'XGBoost']","['RMSE', 'MAE']",False,45.0,"['precipitation', 'land surface temperature', 'evapotranspiration (ET)']",['Soil moisture'],['NDVI'],,['District']
